字词,拼音
"阿胶","ā jiāo"
"阿胶(ē-)","ā jiāo    "
"阿街","ā jiē"
"阿结","ā jié"
"阿姐","ā jiě"
"阿毑","ā jiě"
"阿借","ā jiè"
"阿井","ā jǐnɡ"
"阿井胶","ā jǐnɡ jiāo"
"阿舅","ā jiù"
"阿喀琉斯","ā kā liú sī"
"阿喀琉斯(achilleus)","ā kā liú sī           "
"阿匼","ā "
"阿磕绰","ā kē chuō"
"阿可赤","ā kě chì"
"阿可绰","ā kě chuō"
"阿克莫拉","ā kè mò lā"
"阿克苏姆王国","ā kè sū mǔ wánɡ ɡuó"
"阿肯人","ā kěn rén"
"阿空加瓜山","ā kōnɡ jiā ɡuā shān"
"阿况","ā kuànɡ"
"阿拉","ā lā"
"阿拉巴图","ā lā bā tú"
"阿拉伯半岛","ā lā bó bàn dǎo"
"阿拉伯的劳伦斯","ā lā bó de láo lún sī"
"阿拉伯帝国","ā lā bó dì ɡuó"
"阿拉伯非洲","ā lā bó fēi zhōu"
"阿拉伯国家","ā lā bó ɡuó jiā"
"阿拉伯海","ā lā bó hǎi"
"阿拉伯河","ā lā bó hé"
"阿拉伯胶","ā lā bó jiāo"
"阿拉伯联合酋长国","ā lā bó lián hé qiú chánɡ ɡuó"
"鼓风","ɡǔ fēnɡ"
"鼓风机","ɡǔ fēnɡ jī"
"鼓风炉","ɡǔ fēnɡ lú"
"鼓缶","ɡǔ fǒu"
"鼓趺","ɡǔ fū"
"鼓跗","ɡǔ fū"
"鼓桴","ɡǔ fú"
"鼓腹","ɡǔ fù"
"鼓腹含哺","ɡǔ fù hán bǔ"
"鼓腹含和","ɡǔ fù hán hé"
"鼓腹击壤","ɡǔ fù jī rǎnɡ"
"鼓盖","ɡǔ ɡài"
"鼓歌","ɡǔ ɡē"
"鼓鼓囊囊","ɡǔ ɡǔ nánɡ nánɡ"
"鼓骇","ɡǔ hài"
"鼓颔","ɡǔ hàn"
"鼓翰","ɡǔ hàn"
"鼓合","ɡǔ hé"
"鼓簧","ɡǔ huánɡ"
"鼓惑","ɡǔ huò"
"鼓姬","ɡǔ jī"
"鼓楫","ɡǔ jí"
"鼓檝","ɡǔ sǎn"
"鼓笳","ɡǔ jiā"
"鼓颊","ɡǔ jiá"
"鼓甲","ɡǔ jiǎ"
"鼓架","ɡǔ jià"
"鼓架部","ɡǔ jià bù"
"鼓剑","ɡǔ jiàn"
"鼓谏","ɡǔ jiàn"
"鼓箭","ɡǔ jiàn"
"鼓角","ɡǔ jiǎo"
"鼓叫","ɡǔ jiào"
"鼓节","ɡǔ jié"
"鼓戒","ɡǔ jiè"
"鼓金","ɡǔ jīn"
"鼓劲","ɡǔ jìn"
"鼓进","ɡǔ jìn"
"鼓睛暴眼","ɡǔ jīnɡ bào yǎn"
"鼓絶","ɡǔ "
"鼓口","ɡǔ kǒu"
"鼓栏","ɡǔ lán"
"鼓浪","ɡǔ lànɡ"
"鼓浪屿","ɡǔ lànɡ yǔ"
"鼓老","ɡǔ lǎo"
"鼓佬","ɡǔ lǎo"
"鼓乐","ɡǔ lè"
"鼓乐齐鸣","ɡǔ lè qí mínɡ"
"鼓乐手","ɡǔ lè shǒu"
"鼓乐喧天","ɡǔ lè xuān tiān"
"鼓楞楞","ɡǔ lénɡ lénɡ"
"鼓厉","ɡǔ lì"
"鼓吏","ɡǔ lì"
"鼓励","ɡǔ lì"
"鼓隶","ɡǔ lì"
"鼓栗","ɡǔ lì"
"鼓令","ɡǔ lìnɡ"
"鼓龙胡","ɡǔ lónɡ hú"
"鼓咙胡","ɡǔ lónɡ hú"
"鼓楼","ɡǔ lóu"
"鼓漏","ɡǔ lòu"
"鼓炉","ɡǔ lú"
"鼓率","ɡǔ lǜ"
"鼓乱","ɡǔ luàn"
"鼓轮","ɡǔ lún"
"鼓门道","ɡǔ mén dào"
"鼓膜","ɡǔ mó"
"鼓囊囊","ɡǔ nánɡ nánɡ"
"鼓脑争头","ɡǔ nǎo zhēnɡ tóu"
"鼓馁旗靡","ɡǔ něi qí mí"
"鼓弄","ɡǔ nònɡ"
"鼓怒","ɡǔ nù"
"鼓拍","ɡǔ pāi"
"鼓排","ɡǔ pái"
"鼓盘","ɡǔ pán"
"鼓鞄","ɡǔ páo"
"鼓旆","ɡǔ pèi"
"鼓盆","ɡǔ pén"
"鼓盆之戚","ɡǔ pén zhī qī"
"鼓蓬蓬","ɡǔ pénɡ pénɡ"
"鼓鼙","ɡǔ pí"
"鼓旗","ɡǔ qí"
"鼓旗相当","ɡǔ qí xiānɡ dānɡ"
"鼓鳍","ɡǔ qí"
"鼓气","ɡǔ qì"
"鼓洽","ɡǔ qià"
"鼓箧","ɡǔ qiè"
"鼓琴","ɡǔ qín"
"鼓曲","ɡǔ qǔ"
"鼓劝","ɡǔ quàn"
"鼓髯","ɡǔ rán"
"鼓桡","ɡǔ ráo"
"鼓人","ɡǔ rén"
"鼓润","ɡǔ rùn"
"鼓鳃","ɡǔ sāi"
"鼓颡","ɡǔ sǎnɡ"
"鼓瑟","ɡǔ sè"
"鼓箑","ɡǔ zhá"
"鼓山","ɡǔ shān"
"鼓煽","ɡǔ shān"
"鼓扇","ɡǔ shàn"
"鼓舌","ɡǔ shé"
"鼓舌掀簧","ɡǔ shé xiān huánɡ"
"鼓舌扬唇","ɡǔ shé yánɡ chún"
"鼓舌摇唇","ɡǔ shé yáo chún"
"鼓盛","ɡǔ shènɡ"
"鼓师","ɡǔ shī"
"鼓石","ɡǔ shí"
"鼓史","ɡǔ shǐ"
"鼓室","ɡǔ shì"
"鼓手","ɡǔ shǒu"
"鼓书","ɡǔ shū"
"鼓说","ɡǔ shuō"
"鼓司","ɡǔ sī"
"鼓竦","ɡǔ sǒnɡ"
"鼓汰","ɡǔ tài"
"鼓谈","ɡǔ tán"
"鼓鼗","ɡǔ táo"
"鼓凸","ɡǔ tū"
"鼓湍","ɡǔ tuān"
"鼓退","ɡǔ tuì"
"鼓柁","ɡǔ tuó"
"鼓橐","ɡǔ tuó"
"鼓柝","ɡǔ tuò"
"鼓腕","ɡǔ wàn"
"鼓尾","ɡǔ wěi"
"鼓吻","ɡǔ wěn"
"鼓吻奋爪","ɡǔ wěn fèn zhǎo"
"鼓吻弄舌","ɡǔ wěn nònɡ shé"
"鼓舞","ɡǔ wǔ"
"鼓舞欢忻","ɡǔ wǔ huān xīn"
"鼓舞欢欣","ɡǔ wǔ huān xīn"
"鼓舞伎","ɡǔ wǔ jì"
"鼓舞曲","ɡǔ wǔ qǔ"
"鼓物","ɡǔ wù"
"鼓下","ɡǔ xià"
"鼓险","ɡǔ xiǎn"
"鼓响","ɡǔ xiǎnɡ"
"鼓箫","ɡǔ xiāo"
"鼓胁","ɡǔ xié"
"鼓泻","ɡǔ xiè"
"鼓鬵","ɡǔ qín"
"鼓行","ɡǔ xínɡ"
"鼓眩","ɡǔ xuàn"
"鼓延","ɡǔ yán"
"鼓严","ɡǔ yán"
"鼓眼努睛","ɡǔ yǎn nǔ jīnɡ"
"鼓妖","ɡǔ yāo"
"鼓冶","ɡǔ yě"
"鼓柂","ɡǔ "
"鼓义","ɡǔ yì"
"鼓枻","ɡǔ "
"鼓栧","ɡǔ "
"鼓翼","ɡǔ yì"
"鼓音","ɡǔ yīn"
"鼓朄","ɡǔ yǐn"
"鼓勇","ɡǔ yǒnɡ"
"鼓涌","ɡǔ yǒnɡ"
"鼓诱","ɡǔ yòu"
"鼓鱼","ɡǔ yú"
"八股文","bā ɡǔ wén"
"八故","bā ɡù"
"八卦","bā ɡuà"
"八卦丹","bā ɡuà dān"
"八卦方位","bā ɡuà fānɡ wèi"
"八卦教","bā ɡuà jiào"
"八卦炉","bā ɡuà lú"
"八卦拳","bā ɡuà quán"
"八卦图","bā ɡuà tú"
"八卦衣","bā ɡuà yī"
"八卦掌","bā ɡuà zhǎnɡ"
"八卦阵","bā ɡuà zhèn"
"八关","bā ɡuān"
"八关戒","bā ɡuān jiè"
"八关斋","bā ɡuān zhāi"
"八观","bā ɡuān"
"八观六验","bā ɡuān liù yàn"
"八贵","bā ɡuì"
"八桂","bā ɡuì"
"八跪","bā ɡuì"
"八国联军","bā ɡuó lián jūn"
"八海","bā hǎi"
"八合识","bā hé shí"
"八纮同轨","bā hónɡ tónɡ ɡuǐ"
"八鸿","bā hónɡ"
"八虎","bā hǔ"
"八花砖","bā huā zhuān"
"八荒","bā huānɡ"
"八及","bā jí"
"八极","bā jí"
"八纪","bā jì"
"八际","bā jì"
"八奸","bā jiān"
"八犍","bā jiān"
"八犍度","bā jiān dù"
"八角","bā jiǎo"
"八角鼓","bā jiǎo ɡǔ"
"八角茴香","bā jiǎo huí xiānɡ"
"八角帽","bā jiǎo mào"
"八阶","bā jiē"
"八节","bā jié"
"八节风","bā jié fēnɡ"
"八节滩","bā jié tān"
"八戒","bā jiè"
"八斤半","bā jīn bàn"
"八进制","bā jìn zhì"
"八经","bā jīnɡ"
"八景","bā jǐnɡ"
"八景舆","bā jǐnɡ yú"
"八境","bā jìnɡ"
"八九","bā jiǔ"
"八九不离十","bā jiǔ bù lí shí"
"八九吞","bā jiǔ tūn"
"八诀","bā jué"
"八君子","bā jūn zǐ"
"八俊","bā jùn"
"八骏","bā jùn"
"八儁","bā chǎnɡ"
"八恺","bā kǎi"
"八科","bā kē"
"八口","bā kǒu"
"八苦","bā kǔ"
"八魁","bā kuí"
"八蜡","bā là"
"八蜡神","bā là shén"
"八览","bā lǎn"
"八老","bā lǎo"
"八髎","bā yīn"
"八列","bā liè"
"八灵","bā línɡ"
"八流","bā liú"
"八六子","bā liù zǐ"
"八龙","bā lónɡ"
"八路","bā lù"
"八路军","bā lù jūn"
"八路军军歌","bā lù jūn jūn ɡē"
"八銮","bā luán"
"八络","bā luò"
"八落","bā luò"
"八蛮","bā mán"
"八眉","bā méi"
"八米","bā mǐ"
"八米卢郎","bā mǐ lú lánɡ"
"八米诗","bā mǐ shī"
"八面","bā miàn"
"八面见光","bā miàn jiàn ɡuānɡ"
"八面玲珑","bā miàn línɡ lónɡ"
"八面驶风","bā miàn shǐ fēnɡ"
"八面受敌","bā miàn shòu dí"
"八面威风","bā miàn wēi fēnɡ"
"八面莹澈","bā miàn yínɡ chè"
"八面圆","bā miàn yuán"
"八面张罗","bā miàn zhānɡ luó"
"八面珑","bā miàn lónɡ"
"八闽","bā mǐn"
"八冥","bā mínɡ"
"八溟","bā mínɡ"
"八木天线","bā mù tiān xiàn"
"八难","bā nán"
"八能","bā nénɡ"
"八牛弩","bā niú nǔ"
"八裴","bā péi"
"八品","bā pǐn"
"八七会议","bā qī huì yì"
"八旗","bā qí"
"八旗兵","bā qí bīnɡ"
"八旗制度","bā qí zhì dù"
"八旗子弟","bā qí zǐ dì"
"八千卷楼","bā qiān juàn lóu"
"八千里路云和月","bā qiān lǐ lù yún hé yuè"
"八窍","bā qiào"
"八禽","bā qín"
"八琼","bā qiónɡ"
"八区","bā qū"
"八衢","bā qú"
"八阕","bā què"
"八戎","bā rónɡ"
"八儒","bā rú"
"八杀","bā shā"
"八煞","bā shà"
"八埏","bā shān"
"八舍","bā shě"
"八神","bā shén"
"八声甘州","bā shēnɡ ɡān zhōu"
"八师","bā shī"
"八十二好","bā shí èr hǎo"
"八十孩儿","bā shí hái ér"
"八十四调","bā shí sì diào"
"八十天环游地球","bā shí tiān huán yóu dì qiú"
"八十一元士","bā shí yī yuán shì"
"八十一种好","bā shí yī zhǒnɡ hǎo"
"八十亿劫","bā shí yì jié"
"八石","bā shí"
"八识","bā shí"
"八识田","bā shí tián"
"八矢","bā shǐ"
"八使","bā shǐ"
"八士","bā shì"
"八世","bā shì"
"八书","bā shū"
"八树","bā shù"
"八颂","bā sònɡ"
"八薮","bā sǒu"
"八所港","bā suǒ ɡǎnɡ"
"八索","bā suǒ"
"八闼","bā tà"
"八踏韕","bā tà kuò"
"八抬大轿","bā tái dà jiào"
"八太爷","bā tài yé"
"八体","bā tǐ"
"八体书","bā tǐ shū"
"八停","bā tínɡ"
"八通","bā tōnɡ"
"八统","bā tǒnɡ"
"八屯","bā tún"
"八拓将军","bā tuò jiānɡ jūn"
"八外","bā wài"
"八王之乱","bā wánɡ zhī luàn"
"八维","bā wéi"
"八位","bā wèi"
"打苞","dǎ bāo"
"打抱不平","dǎ bào bù pínɡ"
"打悲","dǎ bēi"
"打悲阿","dǎ bēi ā"
"打碑","dǎ bēi"
"打褙","dǎ bèi"
"打本","dǎ běn"
"打迸","dǎ bènɡ"
"打甏","dǎ bènɡ"
"打蹦儿","dǎ bènɡ ér"
"打比","dǎ bǐ"
"打笔套","dǎ bǐ tào"
"打髀石","dǎ bì shí"
"打髀殖","dǎ bì zhí"
"打边鼓","dǎ biān ɡǔ"
"打标","dǎ biāo"
"打并","dǎ bìnɡ"
"打并伙","dǎ bìnɡ huǒ"
"打啵","dǎ bo"
"打柭柭","dǎ bā bā"
"打博","dǎ bó"
"打补钉","dǎ bǔ dìnɡ"
"打补靪","dǎ bǔ mào"
"打捕","dǎ bǔ"
"打不平","dǎ bù pínɡ"
"打采","dǎ cǎi"
"打彩","dǎ cǎi"
"打参","dǎ cān"
"打惨","dǎ cǎn"
"打草","dǎ cǎo"
"打草谷","dǎ cǎo ɡǔ"
"打草惊蛇","dǎ cǎo jīnɡ shé"
"打草蛇惊","dǎ cǎo shé jīnɡ"
"打杈","dǎ chā"
"打插","dǎ chā"
"打茶会","dǎ chá huì"
"打茶围","dǎ chá wéi"
"打镲","dǎ chǎ"
"打岔","dǎ chà"
"打差","dǎ chà"
"打搀","dǎ chān"
"打颤","dǎ chàn"
"打长","dǎ chánɡ"
"打场","dǎ chǎnɡ"
"打场儿","dǎ chǎnɡ ér"
"打场子","dǎ chǎnɡ zǐ"
"打吵","dǎ chǎo"
"打趁","dǎ chèn"
"打撑","dǎ chēnɡ"
"打成一片","dǎ chénɡ yī piàn"
"打冲锋","dǎ chōnɡ fēnɡ"
"打抽丰","dǎ chōu fēnɡ"
"打出吊入","dǎ chū diào rù"
"打出调入","dǎ chū diào rù"
"打出手","dǎ chū shǒu"
"打怵","dǎ chù"
"打船","dǎ chuán"
"打捶","dǎ chuí"
"打春","dǎ chūn"
"打从","dǎ cónɡ"
"打粗","dǎ cū"
"打蔟","dǎ cù"
"打醋炭","dǎ cù tàn"
"打簇","dǎ cù"
"打撺","dǎ cuān"
"打撺鼓儿","dǎ cuān ɡǔ ér"
"打呆歌","dǎ dāi ɡē"
"打单","dǎ dān"
"打担","dǎ dān"
"打弹","dǎ dàn"
"打当","dǎ dānɡ"
"打倒","dǎ dǎo"
"打道","dǎ dào"
"打道子","dǎ dào zǐ"
"打灯虎","dǎ dēnɡ hǔ"
"打滴溜","dǎ dī liū"
"打底","dǎ dǐ"
"打地铺","dǎ dì pù"
"打典","dǎ diǎn"
"打点","dǎ diǎn"
"打电话","dǎ diàn huà"
"打调","dǎ diào"
"打跌","dǎ diē"
"打迭","dǎ dié"
"打揲","dǎ dié"
"打叠","dǎ dié"
"打顶","dǎ dǐnɡ"
"打定","dǎ dìnɡ"
"打动","dǎ dònɡ"
"打洞","dǎ dònɡ"
"打独磨","dǎ dú mó"
"打笃磨","dǎ dǔ mó"
"打赌","dǎ dǔ"
"打赌赛","dǎ dǔ sài"
"打肚皮官司","dǎ dù pí ɡuān sī"
"打短","dǎ duǎn"
"打短工","dǎ duǎn ɡōnɡ"
"打断","dǎ duàn"
"打堆","dǎ duī"
"打对子","dǎ duì zǐ"
"打盹","dǎ dǔn"
"打趸儿","dǎ dǔn ér"
"打哆嗦","dǎ duō suō"
"打夺","dǎ duó"
"打垜","dǎ "
"打呃","dǎ e"
"打耳喑","dǎ ěr yīn"
"打发","dǎ fā"
"打矾","dǎ fán"
"打方旋","dǎ fānɡ xuán"
"打凤捞龙","dǎ fènɡ lāo lónɡ"
"打凤牢龙","dǎ fènɡ láo lónɡ"
"打富济贫","dǎ fù jì pín"
"打干","dǎ ɡàn"
"打杠子","dǎ ɡànɡ zǐ"
"打稿","dǎ ɡǎo"
"打嗝","dǎ ɡé"
"打更","dǎ ɡènɡ"
"打工","dǎ ɡōnɡ"
"打公司","dǎ ɡōnɡ sī"
"打供","dǎ ɡònɡ"
"打恭","dǎ ɡōnɡ"
"打恭作揖","dǎ ɡōnɡ zuò yī"
"打躬","dǎ ɡōnɡ"
"打躬作揖","dǎ ɡōnɡ zuò yī"
"打拱","dǎ ɡǒnɡ"
"打拱作揖","dǎ ɡǒnɡ zuò yī"
"打勾","dǎ ɡōu"
"打鼓","dǎ ɡǔ"
"打瓜","dǎ ɡuā"
"打卦","dǎ ɡuà"
"打乖","dǎ ɡuāi"
"打乖儿","dǎ ɡuāi ér"
"打关防","dǎ ɡuān fánɡ"
"打关节","dǎ ɡuān jié"
"打官防","dǎ ɡuān fánɡ"
"打官话","dǎ ɡuān huà"
"打官腔","dǎ ɡuān qiānɡ"
"打官司","dǎ ɡuān sī"
"打馆","dǎ ɡuǎn"
"打光棍","dǎ ɡuānɡ ɡùn"
"打广","dǎ ɡuǎnɡ"
"打鬼","dǎ ɡuǐ"
"打滚","dǎ ɡǔn"
"打棍子","dǎ ɡùn zǐ"
"打过","dǎ ɡuò"
"打哈哈","dǎ hā hā"
"打骸垢","dǎ hái ɡòu"
"打鼾","dǎ hān"
"打寒噤","dǎ hán jìn"
"打寒战","dǎ hán zhàn"
"打夯","dǎ hānɡ"
"打夯船","dǎ hānɡ chuán"
"打号","dǎ hào"
"打耗","dǎ hào"
"打诃","dǎ hē"
"打呵呵","dǎ hē hē"
"打呵欠","dǎ hē qiàn"
"打合","dǎ hé"
"打和","dǎ hé"
"反口","fǎn kǒu"
"反寇","fǎn kòu"
"反哭","fǎn kū"
"反馈","fǎn kuì"
"反老还童","fǎn lǎo hái tónɡ"
"反戾","fǎn lì"
"反粒子","fǎn lì zǐ"
"反脸","fǎn liǎn"
"反脸无情","fǎn liǎn wú qínɡ"
"反虏","fǎn lǔ"
"反路","fǎn lù"
"反旅","fǎn lǚ"
"反乱","fǎn luàn"
"反马","fǎn mǎ"
"反码","fǎn mǎ"
"反美华工禁约运动","fǎn měi huá ɡōnɡ jìn yuē yùn dònɡ"
"反袂","fǎn mèi"
"反面","fǎn miàn"
"反面教员","fǎn miàn jiào yuán"
"反面文章","fǎn miàn wén zhānɡ"
"反面无情","fǎn miàn wú qínɡ"
"反命","fǎn mìnɡ"
"反谋","fǎn móu"
"反目","fǎn mù"
"反逆","fǎn nì"
"反纽","fǎn niǔ"
"反派","fǎn pai"
"反叛","fǎn pàn"
"反畔","fǎn pàn"
"反旆","fǎn pèi"
"反批评","fǎn pī pínɡ"
"反扑","fǎn pū"
"反璞","fǎn pú"
"反朴","fǎn pǔ"
"反朴还淳","fǎn pǔ hái chún"
"反其道而行之","fǎn qí dào ér xínɡ zhī"
"反气","fǎn qì"
"反气旋","fǎn qì xuán"
"反铅","fǎn qiān"
"反潜","fǎn qián"
"反潜飞机","fǎn qián fēi jī"
"反潜机","fǎn qián jī"
"反潜直升机","fǎn qián zhí shēnɡ jī"
"反切","fǎn qiē"
"反且","fǎn qiě"
"反青","fǎn qīnɡ"
"反情","fǎn qínɡ"
"反求诸己","fǎn qiú zhū jǐ"
"反裘负刍","fǎn qiú fù chú"
"反裘负薪","fǎn qiú fù xīn"
"反裘伤皮","fǎn qiú shānɡ pí"
"反羣","fǎn "
"反扰","fǎn rǎo"
"反人","fǎn rén"
"反三角函数","fǎn sān jiǎo hán shù"
"反杀","fǎn shā"
"反善","fǎn shàn"
"反伤","fǎn shānɡ"
"反上","fǎn shànɡ"
"反舌","fǎn shé"
"反射","fǎn shè"
"反射定律","fǎn shè dìnɡ lǜ"
"反射角","fǎn shè jiǎo"
"反身","fǎn shēn"
"反身自问","fǎn shēn zì wèn"
"反生香","fǎn shēnɡ xiānɡ"
"反省","fǎn shěnɡ"
"反诗","fǎn shī"
"反始","fǎn shǐ"
"反市","fǎn shì"
"反事","fǎn shì"
"反是","fǎn shì"
"反噬","fǎn shì"
"反手","fǎn shǒu"
"反首","fǎn shǒu"
"反书","fǎn shū"
"反水","fǎn shuǐ"
"反水不收","fǎn shuǐ bù shōu"
"反税","fǎn shuì"
"反说","fǎn shuō"
"反思","fǎn sī"
"反诉","fǎn sù"
"反素","fǎn sù"
"反锁","fǎn suǒ"
"反坦克炮","fǎn tǎn kè pào"
"反腾","fǎn ténɡ"
"反天","fǎn tiān"
"反听","fǎn tīnɡ"
"反蛙泳","fǎn wā yǒnɡ"
"反外","fǎn wài"
"反往","fǎn wǎnɡ"
"反位","fǎn wèi"
"反胃","fǎn wèi"
"反问","fǎn wèn"
"反诬","fǎn wū"
"反忤","fǎn wǔ"
"反迕","fǎn wǔ"
"反系","fǎn xì"
"反相","fǎn xiānɡ"
"反响","fǎn xiǎnɡ"
"反心","fǎn xīn"
"反形","fǎn xínɡ"
"反训","fǎn xùn"
"反言","fǎn yán"
"反颜","fǎn yán"
"反衍","fǎn yǎn"
"反掩","fǎn yǎn"
"反眼不相识","fǎn yǎn bù xiānɡ shí"
"反咬","fǎn yǎo"
"反要","fǎn yào"
"反掖","fǎn yè"
"反衣","fǎn yī"
"反义词","fǎn yì cí"
"反异","fǎn yì"
"反易","fǎn yì"
"反意","fǎn yì"
"反音","fǎn yīn"
"反吟伏吟","fǎn yín fú yín"
"反应","fǎn yīnɡ"
"反应堆","fǎn yīnɡ duī"
"反应器","fǎn yīnɡ qì"
"反应性染料","fǎn yīnɡ xìnɡ rǎn liào"
"反膺","fǎn yīnɡ"
"反映","fǎn yìnɡ"
"反映论","fǎn yìnɡ lùn"
"反庸","fǎn yōnɡ"
"反油","fǎn yóu"
"反右派斗争","fǎn yòu pai dòu zhēnɡ"
"反隅","fǎn yú"
"反虞","fǎn yú"
"反宇","fǎn yǔ"
"反羽","fǎn yǔ"
"反语","fǎn yǔ"
"反狱","fǎn yù"
"反约","fǎn yuē"
"反葬","fǎn zànɡ"
"反则","fǎn zé"
"反仄","fǎn zè"
"反掌","fǎn zhǎnɡ"
"反棹","fǎn zhào"
"反照","fǎn zhào"
"反真","fǎn zhēn"
"反正","fǎn zhènɡ"
"反正拨乱","fǎn zhènɡ bō luàn"
"反正还淳","fǎn zhènɡ hái chún"
"反证","fǎn zhènɡ"
"反证法","fǎn zhènɡ fǎ"
"反政","fǎn zhènɡ"
"反之","fǎn zhī"
"反支","fǎn zhī"
"反巵","fǎn "
"反种","fǎn zhǒnɡ"
"反踵","fǎn zhǒnɡ"
"反转","fǎn zhuǎn"
"反转来","fǎn zhuǎn lái"
"反转片","fǎn zhuǎn piàn"
"反状","fǎn zhuànɡ"
"反宗","fǎn zōnɡ"
"反走","fǎn zǒu"
"反左书","fǎn zuǒ shū"
"得胜褂","dé shènɡ ɡuà"
"得胜葫芦","dé shènɡ hú lú"
"得胜回朝","dé shènɡ huí cháo"
"得胜令","dé shènɡ lìnɡ"
"得胜头回","dé shènɡ tóu huí"
"得失","dé shī"
"得时","dé shí"
"得实","dé shí"
"得使","dé shǐ"
"得士","dé shì"
"得势","dé shì"
"得适","dé shì"
"得手","dé shǒu"
"得手应心","dé shǒu yīnɡ xīn"
"得寿","dé shòu"
"得售","dé shòu"
"得数","dé shù"
"得霜鹰","dé shuānɡ yīnɡ"
"得死","dé sǐ"
"得似","dé sì"
"得算","dé suàn"
"得岁","dé suì"
"得所","dé suǒ"
"得体","dé tǐ"
"得体歌","dé tǐ ɡē"
"得天","dé tiān"
"得天独厚","dé tiān dú hòu"
"得途","dé tú"
"得兔忘蹄","dé tù wànɡ tí"
"得托","dé tuō"
"得脱","dé tuō"
"得亡","dé wánɡ"
"得未尝有","dé wèi chánɡ yǒu"
"得未曾有","dé wèi cénɡ yǒu"
"得位","dé wèi"
"得无","dé wú"
"得毋","dé wú"
"得勿","dé wù"
"得悉","dé xī"
"得仙","dé xiān"
"得闲","dé xián"
"得心","dé xīn"
"得辛","dé xīn"
"得行","dé xínɡ"
"得姓","dé xìnɡ"
"得幸","dé xìnɡ"
"得性","dé xìnɡ"
"得雄","dé xiónɡ"
"得言","dé yán"
"得眼","dé yǎn"
"得样儿","dé yànɡ ér"
"得要","dé yào"
"得也","dé yě"
"得一","dé yī"
"得一元宝","dé yī yuán bǎo"
"得壹","dé yī"
"得壹钱","dé yī qián"
"得壹元宝","dé yī yuán bǎo"
"得宜","dé yí"
"得已","dé yǐ"
"得以","dé yǐ"
"得益","dé yì"
"得意","dé yì"
"得意忘象","dé yì wànɡ xiànɡ"
"得意忘形","dé yì wànɡ xínɡ"
"得意忘言","dé yì wànɡ yán"
"得意扬扬","dé yì yánɡ yánɡ"
"得意洋洋","dé yì yánɡ yánɡ"
"得赢","dé yínɡ"
"得用","dé yònɡ"
"得鱼忘荃","dé yú wànɡ quán"
"得鱼忘筌","dé yú wànɡ quán"
"得舆","dé yú"
"得月","dé yuè"
"得这","dé zhè"
"得正","dé zhènɡ"
"得政","dé zhènɡ"
"得知","dé zhī"
"得职","dé zhí"
"得旨","dé zhǐ"
"得至宝","dé zhì bǎo"
"得志","dé zhì"
"得中","dé zhōnɡ"
"得衷","dé zhōnɡ"
"得众","dé zhònɡ"
"得着","dé zhe"
"得罪","dé zuì"
"得辠","dé hún"
"德昂族","dé ánɡ zú"
"德碑","dé bēi"
"德本","dé běn"
"德本财末","dé běn cái mò"
"德庇","dé bì"
"德便","dé biàn"
"德表","dé biǎo"
"德柄","dé bǐnɡ"
"德薄","dé báo"
"德才兼备","dé cái jiān bèi"
"德操","dé cāo"
"德车","dé chē"
"德称","dé chēnɡ"
"德齿","dé chǐ"
"德川家康(1542-1616)","dé chuān jiā kānɡ           "
"德川幕府","dé chuān mù fǔ"
"德赐","dé cì"
"德道","dé dào"
"德度","dé dù"
"德法","dé fǎ"
"德藩","dé fān"
"德范","dé fàn"
"德风","dé fēnɡ"
"德干高原","dé ɡàn ɡāo yuán"
"德高望重","dé ɡāo wànɡ zhònɡ"
"德功","dé ɡōnɡ"
"德国古典哲学","dé ɡuó ɡǔ diǎn zhé xué"
"德国农民战争","dé ɡuó nónɡ mín zhàn zhēnɡ"
"德国十一月革命","dé ɡuó shí yī yuè ɡé mìnɡ"
"德国--一个冬天的童话","dé ɡuó   yī ɡè dōnɡ tiān de tónɡ huà"
"德海","dé hǎi"
"德号","dé hào"
"德黑兰","dé hēi lán"
"德黑兰会议","dé hēi lán huì yì"
"德厚","dé hòu"
"德厚流光","dé hòu liú ɡuānɡ"
"德华","dé huá"
"德化","dé huà"
"德辉","dé huī"
"德惠","dé huì"
"德慧","dé huì"
"德机","dé jī"
"德基","dé jī"
"德几","dé jǐ"
"德教","dé jiào"
"德经","dé jīnɡ"
"德精","dé jīnɡ"
"德举","dé jǔ"
"德句","dé jù"
"德况","dé kuànɡ"
"德雷克海峡","dé léi kè hǎi xiá"
"德类","dé lèi"
"德礼","dé lǐ"
"德量","dé liànɡ"
"德邻","dé lín"
"德令","dé lìnɡ"
"德隆望重","dé lónɡ wànɡ zhònɡ"
"德隆望尊","dé lónɡ wànɡ zūn"
"德律风","dé lǜ fēnɡ"
"德茂","dé mào"
"德懋","dé mào"
"德门","dé mén"
"德谟克拉西","dé mó kè lā xī"
"德牧","dé mù"
"德能","dé nénɡ"
"德念","dé niàn"
"德虐","dé nüè"
"德配","dé pèi"
"德配天地","dé pèi tiān dì"
"德器","dé qì"
"德全","dé quán"
"德全如醉","dé quán rú zuì"
"班毛","bān máo"
"班茅","bān máo"
"班门","bān mén"
"班门弄斧","bān mén nònɡ fǔ"
"班命","bān mìnɡ"
"班墨","bān mò"
"班奴","bān nú"
"班女","bān nǚ"
"班女扇","bān nǚ shàn"
"班配","bān pèi"
"班品","bān pǐn"
"班期","bān qī"
"班妾","bān qiè"
